name,file_type.x,content_type,short_name,name_root
zeeguu_api/tools/article_crawler.py,py,py,article_crawler.py,article_crawler
zeeguu_api/tools/bookmark_info.py,py,py,bookmark_info.py,bookmark_info
zeeguu_api/tools/bookmark_priorities_for_user.py,py,py,bookmark_priorities_for_user.py,bookmark_priorities_for_user
zeeguu_api/tools/cleanup_non_content_bits.py,py,py,cleanup_non_content_bits.py,cleanup_non_content_bits
zeeguu_api/tools/consolidate_accounts.py,py,py,consolidate_accounts.py,consolidate_accounts
zeeguu_api/tools/delete_bookmark.py,py,py,delete_bookmark.py,delete_bookmark
zeeguu_api/tools/delete_feed.py,py,py,delete_feed.py,delete_feed
zeeguu_api/tools/exercise_analysis.py,py,py,exercise_analysis.py,exercise_analysis
zeeguu_api/tools/feed_info.py,py,py,feed_info.py,feed_info
zeeguu_api/tools/feed_retrieval.py,py,py,feed_retrieval.py,feed_retrieval
zeeguu_api/tools/fill_article_ids.py,py,py,fill_article_ids.py,fill_article_ids
zeeguu_api/tools/fill_historical_exercise_sessions.py,py,py,fill_historical_exercise_sessions.py,fill_historical_exercise_sessions
zeeguu_api/tools/fill_historical_reading_sessions.py,py,py,fill_historical_reading_sessions.py,fill_historical_reading_sessions
zeeguu_api/tools/find_broken_articles.py,py,py,find_broken_articles.py,find_broken_articles
zeeguu_api/tools/fix_bookmark_learned_status.py,py,py,fix_bookmark_learned_status.py,fix_bookmark_learned_status
zeeguu_api/tools/fix_bookmark_priorities.py,py,py,fix_bookmark_priorities.py,fix_bookmark_priorities
zeeguu_api/tools/flatten_unicode_characters.py,py,py,flatten_unicode_characters.py,flatten_unicode_characters
zeeguu_api/tools/forget_user.py,py,py,forget_user.py,forget_user
zeeguu_api/tools/learner_level.py,py,py,learner_level.py,learner_level
zeeguu_api/tools/map_article_words.py,py,py,map_article_words.py,map_article_words
zeeguu_api/tools/migrate_starredarticle_2_userarticle.py,py,py,migrate_starredarticle_2_userarticle.py,migrate_starredarticle_2_userarticle
zeeguu_api/tools/migrations/add_icon_name_to_rss_feed.py,py,py,add_icon_name_to_rss_feed.py,add_icon_name_to_rss_feed
zeeguu_api/tools/migrations/fix_text_duplications.py,py,py,fix_text_duplications.py,fix_text_duplications
zeeguu_api/tools/migrations/migrate_passwords.py,py,py,migrate_passwords.py,migrate_passwords
zeeguu_api/tools/migrations/migrate_user_languages.py,py,py,migrate_user_languages.py,migrate_user_languages
zeeguu_api/tools/migrations/redo_hash.py,py,py,redo_hash.py,redo_hash
zeeguu_api/tools/migrations/teacher_dashboard_migration_1/downgrade.py,py,py,downgrade.py,downgrade
zeeguu_api/tools/migrations/teacher_dashboard_migration_1/upgrade.py,py,py,upgrade.py,upgrade
zeeguu_api/tools/migrations/towards_single_translation.py,py,py,towards_single_translation.py,towards_single_translation
zeeguu_api/tools/mysql_to_elastic.py,py,py,mysql_to_elastic.py,mysql_to_elastic
zeeguu_api/tools/past_exercises_for_user.py,py,py,past_exercises_for_user.py,past_exercises_for_user
zeeguu_api/tools/recompute_fk_difficulties_for_polish.py,py,py,recompute_fk_difficulties_for_polish.py,recompute_fk_difficulties_for_polish
zeeguu_api/tools/recompute_recommender_cache.py,py,py,recompute_recommender_cache.py,recompute_recommender_cache
zeeguu_api/tools/remove_unreferenced_articles.py,py,py,remove_unreferenced_articles.py,remove_unreferenced_articles
zeeguu_api/tools/saturate_word_interaction_history.py,py,py,saturate_word_interaction_history.py,saturate_word_interaction_history
zeeguu_api/tools/tag_existing_articles.py,py,py,tag_existing_articles.py,tag_existing_articles
zeeguu_api/tools/tag_topics_in_danish.py,py,py,tag_topics_in_danish.py,tag_topics_in_danish
zeeguu_api/tools/update_feed.py,py,py,update_feed.py,update_feed
zeeguu_api/tools/update_particular_tag.py,py,py,update_particular_tag.py,update_particular_tag
zeeguu_api/tools/users_recently_active.py,py,py,users_recently_active.py,users_recently_active
zeeguu_api/zeeguu_api/__main__.py,py,py,__main__.py,__main__
zeeguu_api/zeeguu_api/api/__init__.py,py,py,__init__.py,__init__
zeeguu_api/zeeguu_api/api/accounts.py,py,py,accounts.py,accounts
zeeguu_api/zeeguu_api/api/activity_tracking.py,py,py,activity_tracking.py,activity_tracking
zeeguu_api/zeeguu_api/api/article.py,py,py,article.py,article
zeeguu_api/zeeguu_api/api/bookmarks_and_words.py,py,py,bookmarks_and_words.py,bookmarks_and_words
zeeguu_api/zeeguu_api/api/exercises.py,py,py,exercises.py,exercises
zeeguu_api/zeeguu_api/api/feature_toggles.py,py,py,feature_toggles.py,feature_toggles
zeeguu_api/zeeguu_api/api/feeds.py,py,py,feeds.py,feeds
zeeguu_api/zeeguu_api/api/own_texts.py,py,py,own_texts.py,own_texts
zeeguu_api/zeeguu_api/api/recommendations.py,py,py,recommendations.py,recommendations
zeeguu_api/zeeguu_api/api/search.py,py,py,search.py,search
zeeguu_api/zeeguu_api/api/sessions.py,py,py,sessions.py,sessions
zeeguu_api/zeeguu_api/api/smartwatch.py,py,py,smartwatch.py,smartwatch
zeeguu_api/zeeguu_api/api/speech.py,py,py,speech.py,speech
zeeguu_api/zeeguu_api/api/student.py,py,py,student.py,student
zeeguu_api/zeeguu_api/api/system_languages.py,py,py,system_languages.py,system_languages
zeeguu_api/zeeguu_api/api/teacher_dashboard/__init__.py,py,py,__init__.py,__init__
zeeguu_api/zeeguu_api/api/teacher_dashboard/article_management.py,py,py,article_management.py,article_management
zeeguu_api/zeeguu_api/api/teacher_dashboard/cohorts.py,py,py,cohorts.py,cohorts
zeeguu_api/zeeguu_api/api/teacher_dashboard/decorator.py,py,py,decorator.py,decorator
